Year,Country,Location Name,F: Total,M: Total,Overall total,,,,,,,,,,,,,,,
2010,Afghanistan,Faryab : Wilayat - Province,10804,11377,22181,,,,,,,,,,,,,,,
2010,Afghanistan,Farah : Wilayat - Province,12453,12661,25114,,,,,,,,,,,,,,,
2010,Afghanistan,Day Kundi : Wolaswalei - District,86,87,173,,,,,,,,,,, ,,, ,central
2010,Afghanistan,Day Kundi : Wilayat - Province,1216,1299,2515,,,,,       ,,,,,, ,,,,
2010,Afghanistan,Bamyan : Wilayat - Province,717,856,1573,,,,,       ,,,,,, ,,, ,paktika
2010,Afghanistan,Balkh : Wilayat - Province,7533,7917,15450,,,,,       ,,,,,, ,,, ,maiwand
2010,Afghanistan,Baghlan : Wilayat - Province,11076,11500,22576,,,,,       ,,,,,, ,,, ,kapisa
2010,Afghanistan,Badghis : Wilayat - Province,4555,4557,9112,,,,,       ,,,,,, ,,, ,ghazni
2010,Afghanistan,Badakhshan : Wilayat - Province,356,1070,1426,,,,,       ,,,,,, ,,, ,baghi shirkat
2010,Afghanistan,Afghanistan : Dispersed in the country / territory,18,31,49,,,,,       ,,,,,, ,,,,
2010,Afghanistan,Various,304836,293621,600757,,,,,       ,,,,,, ,,, ,helmand
2011,Afghanistan,Zabul : Wilayat - Province,6345,6432,12777,,,,,       ,,,,,, ,,, ,sam ouandja
2011,Afghanistan,Wardak : Wilayat - Province,9720,9717,19437,,,,,       ,,,,,, ,,,,
2011,Afghanistan,Uruzgan : Wilayat - Province,20538,20213,40751,,,,,       ,,,,,,,,,,
2011,Afghanistan,Takhar : Wilayat - Province,6231,6918,13149,,,,,       ,,,,,, ,,,,
2011,Afghanistan,Sari Pul : Wilayat - Province,7741,7338,15079,,,,,       ,,,,,, ,,,,
2011,Afghanistan,Samangan : Wilayat - Province,2178,2148,4326,,,,,       ,,,,,, ,,,,
2011,Afghanistan,Parwan : Wilayat - Province,7054,7583,14637,,,,,       ,,,,,,,,,,
2011,Afghanistan,Panjsher : Wilayat - Province,199,195,394,,,,,,,,,,,,,,,
2011,Afghanistan,Paktya : Wilayat - Province,16104,15560,31664,,,,,,,,,,,,,,,
2011,Afghanistan,Paktika : Wilayat - Province,2997,3062,6059,,,,,,,,,,,,,,,
2011,Afghanistan,Nuristan : Wilayat - Province,1982,1943,3925,,,,,,,,,,,,,,,
2011,Afghanistan,Nimroz : Wilayat - Province,250,323,573,,,,,,,,,,,,,,,
2011,Afghanistan,Nangarhar : Wilayat - Province,224751,229930,454681,,,,,,,,,,,,,,,
2011,Afghanistan,Logar : Wilayat - Province,18244,18027,36271,,,,,,,,,,,,,,,
2011,Afghanistan,Laghman : Wilayat - Province,31532,32591,64123,,,,,,,,,,,,,,,
2011,Afghanistan,Kunduz : Wilayat - Province,34730,35676,70406,,,,,,,,,,,,,,,
2011,Afghanistan,Kunar : Wilayat - Province,34298,35560,69858,,,,,,,,,,,,,,,
2011,Afghanistan,Khost : Wilayat - Province,11291,11469,22760,,,,,,,,,,,,,,,
2011,Afghanistan,Kapisa : Wilayat - Province,3418,3499,6917,,,,,,,,,,,,,,,
2011,Afghanistan,Kandahar : Wilayat - Province,52469,53062,105531,,,,,,,,,,,,,,,
2011,Afghanistan,Kabul : Wilayat - Province,76888,78038,154926,,,,,,,,,,,,,,,
2011,Afghanistan,Jawzjan : Wilayat - Province,16947,16529,33476,,,,,,,,,,,,,,,
2011,Afghanistan,Hirat : Wilayat - Province,46526,47323,93849,,,,,,,,,,,,,,,
2011,Afghanistan,Hilmand : Wilayat - Province,43611,43500,87111,,,,,,,,,,,,,,,
2011,Afghanistan,Ghor : Wilayat - Province,6316,6318,12634,,,,,,,,,,,,,,,
2011,Afghanistan,Ghazni : Wilayat - Province,18594,19215,37809,,,,,,,,,,,,,,,
2011,Afghanistan,Faryab : Wilayat - Province,23030,22249,45279,,,,,,,,,,,,,,,
2011,Afghanistan,Farah : Wilayat - Province,10510,10402,20912,,,,,,,,,,,,,,,
2011,Afghanistan,Day Kundi : Wolaswalei - District,1702,1778,3480,,,,,,,,,,,,,,,
2011,Afghanistan,Day Kundi : Wilayat - Province,137,130,267,,,,,,,,,,,,,,,
2011,Afghanistan,Bamyan : Wilayat - Province,934,1039,1973,,,,,,,,,,,,,,,
2011,Afghanistan,Balkh : Wilayat - Province,9337,9687,19024,,,,,,,,,,,,,,,
2011,Afghanistan,Baghlan : Wilayat - Province,12245,12826,25071,,,,,,,,,,,,,,,
2011,Afghanistan,Badghis : Wilayat - Province,4123,4145,8268,,,,,,,,,,,,,,,
2011,Afghanistan,Afghanistan : Dispersed in the country / territory,2926,2879,5805,,,,,,,,,,,,,,,
2011,Afghanistan,Panjsher : Wolaswalei - District,215,246,461,,,,,,,,,,,,,,,
2011,Afghanistan,Badakhshan : Wilayat - Province,399,1129,1528,,,,,,,,,,,,,,,
2012,Afghanistan,Afghanistan : Dispersed in the country / territory,1021,3658,4679,,,,,,,,,,,,,,,
2012,Afghanistan,Zabul : Wilayat - Province,7705,8553,16258,,,,,,,,,,,,,,,
2012,Afghanistan,Wardak : Wilayat - Province,6915,7355,14270,,,,,,,,,,,,,,,
2012,Afghanistan,Uruzgan : Wilayat - Province,10445,11536,21981,,,,,,,,,,,,,,,
2012,Afghanistan,Takhar : Wilayat - Province,5331,5982,11313,,,,,,,,,,,,,,,
2012,Afghanistan,Sari Pul : Wilayat - Province,9127,10024,19151,,,,,,,,,,,,,,,
2012,Afghanistan,Samangan : Wilayat - Province,2079,2082,4161,,,,,,,,,,,,,,,
2012,Afghanistan,Parwan : Wilayat - Province,7227,7808,15035,,,,,,,,,,,,,,,
2012,Afghanistan,Panjsher : Wilayat - Province,488,519,1007,,,,,,,,,,,,,,,
2012,Afghanistan,Paktya : Wilayat - Province,14216,13915,28131,,,,,,,,,,,,,,,
2012,Afghanistan,Paktika : Wilayat - Province,2330,2600,4930,,,,,,,,,,,,,,,
2012,Afghanistan,Nuristan : Wilayat - Province,2366,2612,4978,,,,,,,,,,,,,,,
2012,Afghanistan,Nimroz : Wilayat - Province,471,569,1040,,,,,,,,,,,,,,,
2012,Afghanistan,Nangarhar : Wilayat - Province,227998,237195,465193,,,,,,,,,,,,,,,
2012,Afghanistan,Logar : Wilayat - Province,17137,17515,34652,,,,,,,,,,,,,,,
2012,Afghanistan,Laghman : Wilayat - Province,31587,32906,64493,,,,,,,,,,,,,,,
2012,Afghanistan,Kunduz : Wilayat - Province,29562,31086,60648,,,,,,,,,,,,,,,
2012,Afghanistan,Kunar : Wilayat - Province,42527,45389,87916,,,,,,,,,,,,,,,
2012,Afghanistan,Khost : Wilayat - Province,5860,6315,12175,,,,,,,,,,,,,,,
2012,Afghanistan,Kapisa : Wilayat - Province,9694,10647,20341,,,,,,,,,,,,,,,
2012,Afghanistan,Kandahar : Wilayat - Province,40011,43787,83798,,,,,,,,,,,,,,,
2012,Afghanistan,Kabul : Wilayat - Province,65065,66248,131313,,,,,,,,,,,,,,,
2012,Afghanistan,Jawzjan : Wilayat - Province,15429,16273,31702,,,,,,,,,,,,,,,
2012,Afghanistan,Hirat : Wilayat - Province,52343,58505,110848,,,,,,,,,,,,,,,
2012,Afghanistan,Hilmand : Wilayat - Province,35103,38788,73891,,,,,,,,,,,,,,,
2012,Afghanistan,Ghor : Wilayat - Province,10961,12277,23238,,,,,,,,,,,,,,,
2012,Afghanistan,Ghazni : Wilayat - Province,18556,20540,39096,,,,,,,,,,,,,,,
2012,Afghanistan,Faryab : Wilayat - Province,14901,16386,31287,,,,,,,,,,,,,,,
2012,Afghanistan,Farah : Wilayat - Province,5910,6399,12309,,,,,,,,,,,,,,,
2012,Afghanistan,Day Kundi : Wilayat - Province,1009,1064,2073,,,,,,,,,,,,,,,
2012,Afghanistan,Bamyan : Wilayat - Province,925,1009,1934,,,,,,,,,,,,,,,
2012,Afghanistan,Balkh : Wilayat - Province,13477,14244,27721,,,,,,,,,,,,,,,
2012,Afghanistan,Baghlan : Wilayat - Province,11238,11766,23004,,,,,,,,,,,,,,,
2012,Afghanistan,Badghis : Wilayat - Province,4289,4804,9093,,,,,,,,,,,,,,,
2012,Afghanistan,Badakhshan : Wilayat - Province,474,1165,1639,,,,,,,,,,,,,,,
2013,Afghanistan,Zabul : Wilayat - Province,7093,7006,14099,,,,,,,,,,,,,,,
2013,Afghanistan,Wardak : Wilayat - Province,8993,8711,17704,,,,,,,,,,,,,,,
2013,Afghanistan,Uruzgan : Wilayat - Province,10579,10279,20858,,,,,,,,,,,,,,,
2013,Afghanistan,Urozgan : Wilayat - Province,188,190,378,,,,,,,,,,,,,,,
2013,Afghanistan,Takhar : Wilayat - Province,2283,2314,4597,,,,,,,,,,,,,,,
2013,Afghanistan,Sari Pul : Wilayat - Province,5968,5801,11769,,,,,,,,,,,,,,,
2013,Afghanistan,Sar-e Pol : Wilayat - Province,2091,2151,4242,,,,,,,,,,,,,,,
2013,Afghanistan,Samangan : Wilayat - Province,952,938,1890,,,,,,,,,,,,,,,
2013,Afghanistan,Parwan : Wilayat - Province,4588,4650,9238,,,,,,,,,,,,,,,
2013,Afghanistan,Panjshir : Wilayat - Province,297,290,587,,,,,,,,,,,,,,,
2013,Afghanistan,Panjsher : Wilayat - Province,119,115,234,,,,,,,,,,,,,,,
2013,Afghanistan,Paktya : Wilayat - Province,645,627,1272,,,,,,,,,,,,,,,
2013,Afghanistan,Paktika : Wilayat - Province,3221,3122,6343,,,,,,,,,,,,,,,
